Span Loc(m)	Chord(m)	IB Height(m)	IB Width(m)	Web Height(m)	Web Width(m)	IB Area(m2)	Moment(Nm)	Wing Weight(N/m)
0.172000	3.999852	0.299989	0.531980	0.295989	0.001000	0.002424	4158.602657	138.996626
0.174000	3.999849	0.299989	0.531980	0.295989	0.001000	0.002424	4157.613670	138.996506
0.176000	3.999845	0.299988	0.531979	0.295988	0.001000	0.002424	4156.624811	138.996384
0.178000	3.999842	0.299988	0.531979	0.295988	0.001000	0.002424	4155.636079	138.996261
0.180000	3.999838	0.299988	0.531978	0.295988	0.001000	0.002424	4154.647474	138.996137
0.182000	3.999834	0.299988	0.531978	0.295988	0.001000	0.002424	4153.658997	138.996011
0.184000	3.999831	0.299987	0.531977	0.295987	0.001000	0.002424	4152.670647	138.995884
0.186000	3.999827	0.299987	0.531977	0.295987	0.001000	0.002424	4151.682424	138.995755
0.188000	3.999823	0.299987	0.531976	0.295987	0.001000	0.002424	4150.694329	138.995625
0.190000	3.999819	0.299986	0.531976	0.295986	0.001000	0.002424	4149.706361	138.995493
0.192000	3.999816	0.299986	0.531975	0.295986	0.001000	0.002424	4148.718520	138.995361
0.194000	3.999812	0.299986	0.531975	0.295986	0.001000	0.002424	4147.730807	138.995226
0.196000	3.999808	0.299986	0.531974	0.295986	0.001000	0.002424	4146.743221	138.995091
0.198000	3.999804	0.299985	0.531974	0.295985	0.001000	0.002424	4145.755762	138.994954
0.200000	3.999800	0.299985	0.531973	0.295985	0.001000	0.002424	4144.768430	138.994815
0.202000	3.999796	0.299985	0.531973	0.295985	0.001000	0.002424	4143.781226	138.994675
0.204000	3.999792	0.299984	0.531972	0.295984	0.001000	0.002424	4142.794149	138.994534
0.206000	3.999788	0.299984	0.531972	0.295984	0.001000	0.002424	4141.807200	138.994392
0.208000	3.999784	0.299984	0.531971	0.295984	0.001000	0.002424	4140.820378	138.994248
0.210000	3.999779	0.299983	0.531971	0.295983	0.001000	0.002424	4139.833683	138.994102
0.212000	3.999775	0.299983	0.531970	0.295983	0.001000	0.002424	4138.847115	138.993955
0.214000	3.999771	0.299983	0.531970	0.295983	0.001000	0.002424	4137.860675	138.993807
0.216000	3.999767	0.299983	0.531969	0.295983	0.001000	0.002424	4136.874362	138.993658
0.218000	3.999762	0.299982	0.531968	0.295982	0.001000	0.002424	4135.888176	138.993507
0.220000	3.999758	0.299982	0.531968	0.295982	0.001000	0.002424	4134.902118	138.993354
0.222000	3.999754	0.299982	0.531967	0.295982	0.001000	0.002424	4133.916187	138.993201
