Span Loc(m)	Chord(m)	IB Height(m)	IB Width(m)	Web Height(m)	Web Width(m)	IB Area(m2)	Moment(Nm)	Wing Weight(N/m)
1.656000	0.490651	0.036799	0.065257	0.030768	0.001000	0.000424	406.001563	20.448591
1.658000	0.490578	0.036793	0.065247	0.030771	0.001000	0.000424	405.415658	20.431251
1.660000	0.490505	0.036788	0.065237	0.030773	0.001000	0.000423	404.830234	20.413928
1.662000	0.490432	0.036782	0.065227	0.030776	0.001000	0.000423	404.245291	20.396621
1.664000	0.490359	0.036777	0.065218	0.030779	0.001000	0.000422	403.660828	20.379331
1.666000	0.490285	0.036771	0.065208	0.030782	0.001000	0.000421	403.076845	20.362058
1.668000	0.490212	0.036766	0.065198	0.030784	0.001000	0.000421	402.493342	20.344801
1.670000	0.490138	0.036760	0.065188	0.030787	0.001000	0.000420	401.910319	20.327560
1.672000	0.490064	0.036755	0.065179	0.030790	0.001000	0.000420	401.327776	20.310335
1.674000	0.489990	0.036749	0.065169	0.030793	0.001000	0.000419	400.745714	20.293127
1.676000	0.489916	0.036744	0.065159	0.030795	0.001000	0.000418	400.164131	20.275936
1.678000	0.489842	0.036738	0.065149	0.030798	0.001000	0.000418	399.583028	20.258760
1.680000	0.489768	0.036733	0.065139	0.030800	0.001000	0.000417	399.002405	20.241601
1.682000	0.489694	0.036727	0.065129	0.030803	0.001000	0.000417	398.422262	20.224458
1.684000	0.489620	0.036721	0.065119	0.030806	0.001000	0.000416	397.842598	20.207331
1.686000	0.489545	0.036716	0.065110	0.030808	0.001000	0.000415	397.263413	20.190221
1.688000	0.489471	0.036710	0.065100	0.030811	0.001000	0.000415	396.684709	20.173126
1.690000	0.489396	0.036705	0.065090	0.030813	0.001000	0.000414	396.106483	20.156048
1.692000	0.489321	0.036699	0.065080	0.030816	0.001000	0.000414	395.528737	20.138986
1.694000	0.489246	0.036693	0.065070	0.030818	0.001000	0.000413	394.951470	20.121940
1.696000	0.489171	0.036688	0.065060	0.030821	0.001000	0.000413	394.374682	20.104910
1.698000	0.489096	0.036682	0.065050	0.030823	0.001000	0.000412	393.798374	20.087897
1.700000	0.489021	0.036677	0.065040	0.030826	0.001000	0.000411	393.222544	20.070899
1.702000	0.488946	0.036671	0.065030	0.030828	0.001000	0.000411	392.647194	20.053917
1.704000	0.488871	0.036665	0.065020	0.030831	0.001000	0.000410	392.072322	20.036951
1.706000	0.488795	0.036660	0.065010	0.030833	0.001000	0.000410	391.497929	20.020001
1.708000	0.488720	0.036654	0.065000	0.030836	0.001000	0.000409	390.924015	20.003067
1.710000	0.488644	0.036648	0.064990	0.030838	0.001000	0.000408	390.350579	19.986149
1.712000	0.488568	0.036643	0.064980	0.030840	0.001000	0.000408	389.777622	19.969247
1.714000	0.488492	0.036637	0.064969	0.030843	0.001000	0.000407	389.205144	19.952360
1.716000	0.488416	0.036631	0.064959	0.030845	0.001000	0.000407	388.633144	19.935490
1.718000	0.488340	0.036626	0.064949	0.030847	0.001000	0.000406	388.061622	19.918635
1.720000	0.488264	0.036620	0.064939	0.030850	0.001000	0.000406	387.490579	19.901796
1.722000	0.488188	0.036614	0.064929	0.030852	0.001000	0.000405	386.920014	19.884973
1.724000	0.488112	0.036608	0.064919	0.030854	0.001000	0.000404	386.349927	19.868166
1.726000	0.488035	0.036603	0.064909	0.030856	0.001000	0.000404	385.780318	19.851374
1.728000	0.487959	0.036597	0.064898	0.030859	0.001000	0.000403	385.211187	19.834598
1.730000	0.487882	0.036591	0.064888	0.030861	0.001000	0.000403	384.642534	19.817837
1.732000	0.487805	0.036585	0.064878	0.030863	0.001000	0.000402	384.074359	19.801093
1.734000	0.487728	0.036580	0.064868	0.030865	0.001000	0.000402	383.506661	19.784363
1.736000	0.487651	0.036574	0.064858	0.030868	0.001000	0.000401	382.939442	19.767650
1.738000	0.487574	0.036568	0.064847	0.030870	0.001000	0.000400	382.372699	19.750952
1.740000	0.487497	0.036562	0.064837	0.030872	0.001000	0.000400	381.806435	19.734269
1.742000	0.487420	0.036556	0.064827	0.030874	0.001000	0.000399	381.240648	19.717602
1.744000	0.487343	0.036551	0.064817	0.030876	0.001000	0.000399	380.675338	19.700951
1.746000	0.487265	0.036545	0.064806	0.030878	0.001000	0.000398	380.110505	19.684315
1.748000	0.487188	0.036539	0.064796	0.030880	0.001000	0.000398	379.546150	19.667694
1.750000	0.487110	0.036533	0.064786	0.030882	0.001000	0.000397	378.982272	19.651089
1.752000	0.487032	0.036527	0.064775	0.030884	0.001000	0.000396	378.418871	19.634499
1.754000	0.486954	0.036522	0.064765	0.030886	0.001000	0.000396	377.855947	19.617925
1.756000	0.486876	0.036516	0.064755	0.030888	0.001000	0.000395	377.293500	19.601366
1.758000	0.486798	0.036510	0.064744	0.030890	0.001000	0.000395	376.731530	19.584822
1.760000	0.486720	0.036504	0.064734	0.030892	0.001000	0.000394	376.170037	19.568293
1.762000	0.486642	0.036498	0.064723	0.030894	0.001000	0.000394	375.609020	19.551780
1.764000	0.486563	0.036492	0.064713	0.030896	0.001000	0.000393	375.048480	19.535282
1.766000	0.486485	0.036486	0.064702	0.030898	0.001000	0.000392	374.488417	19.518800
1.768000	0.486406	0.036480	0.064692	0.030900	0.001000	0.000392	373.928829	19.502332
1.770000	0.486328	0.036475	0.064682	0.030902	0.001000	0.000391	373.369719	19.485880
1.772000	0.486249	0.036469	0.064671	0.030904	0.001000	0.000391	372.811085	19.469443
1.774000	0.486170	0.036463	0.064661	0.030906	0.001000	0.000390	372.252926	19.453021
1.776000	0.486091	0.036457	0.064650	0.030907	0.001000	0.000390	371.695244	19.436614
1.778000	0.486012	0.036451	0.064640	0.030909	0.001000	0.000389	371.138039	19.420222
1.780000	0.485933	0.036445	0.064629	0.030911	0.001000	0.000389	370.581309	19.403846
1.782000	0.485853	0.036439	0.064619	0.030913	0.001000	0.000388	370.025055	19.387484
1.784000	0.485774	0.036433	0.064608	0.030915	0.001000	0.000387	369.469277	19.371138
1.786000	0.485695	0.036427	0.064597	0.030916	0.001000	0.000387	368.913975	19.354806
1.788000	0.485615	0.036421	0.064587	0.030918	0.001000	0.000386	368.359148	19.338489
1.790000	0.485535	0.036415	0.064576	0.030920	0.001000	0.000386	367.804797	19.322188
1.792000	0.485455	0.036409	0.064566	0.030922	0.001000	0.000385	367.250922	19.305901
1.794000	0.485376	0.036403	0.064555	0.030923	0.001000	0.000385	366.697522	19.289629
